iter	Passed	Remaining
0	2	235
1	4	204
2	5	188
3	7	171
4	8	166
5	10	162
6	12	159
7	13	156
8	15	153
9	16	152
10	18	149
11	19	146
12	21	144
13	23	142
14	24	140
15	26	138
16	27	135
17	29	133
18	31	132
19	32	130
20	34	129
21	36	127
22	37	126
23	39	125
24	41	123
25	42	121
26	44	119
27	46	118
28	47	116
29	49	114
30	50	112
31	52	111
32	54	109
33	55	107
34	57	106
35	58	104
36	60	103
37	62	101
38	63	100
39	67	101
40	69	100
41	70	97
42	72	96
43	74	94
44	76	92
45	77	91
46	79	89
47	81	88
48	83	86
49	85	85
50	87	83
51	88	81
52	90	80
53	91	78
54	92	75
55	94	74
56	96	72
57	97	70
58	98	68
59	100	66
60	101	65
61	103	63
62	104	61
63	105	59
64	106	57
65	107	55
66	108	53
67	110	51
68	111	50
69	112	48
70	113	46
71	115	44
72	116	43
73	118	41
74	119	39
75	120	38
76	121	36
77	122	34
78	123	32
79	125	31
80	125	29
81	126	27
82	127	26
83	128	24
84	130	22
85	131	21
86	132	19
87	132	18
88	133	16
89	134	14
90	135	13
91	136	11
92	137	10
93	138	8
94	138	7
95	139	5
96	140	4
97	141	2
98	142	1
99	143	0
