iter	Passed	Remaining
0	8	8886
1	9	4776
2	10	3371
3	10	2662
4	11	2240
5	11	1960
6	12	1753
7	12	1599
8	13	1483
9	14	1404
10	14	1338
11	15	1285
12	16	1227
13	16	1180
14	17	1136
15	17	1097
16	18	1062
17	18	1030
18	19	1002
19	19	977
20	20	955
21	21	936
22	21	917
23	22	898
24	22	883
25	23	871
26	23	857
27	24	844
28	24	833
29	25	822
30	25	811
31	26	801
32	27	792
33	27	783
34	28	775
35	28	774
36	29	772
37	30	774
38	31	771
39	31	764
40	32	756
41	32	750
42	33	744
43	33	738
44	34	732
45	35	727
46	35	721
47	36	716
48	36	711
49	37	706
50	37	702
51	38	697
52	38	693
53	39	689
54	39	685
55	40	681
56	40	677
57	41	675
58	42	672
59	42	668
60	43	664
61	43	665
62	45	671
63	45	670
64	46	668
65	47	665
66	47	663
67	48	661
68	48	658
69	49	655
70	49	652
71	50	649
72	50	646
73	51	643
74	51	640
75	52	638
76	53	635
77	53	633
78	54	630
79	54	628
80	55	625
81	55	623
82	55	618
83	56	616
84	57	613
85	57	611
86	58	609
87	59	612
88	60	616
89	60	614
90	61	612
91	61	610
92	62	609
93	63	607
94	63	605
95	64	602
96	64	601
97	65	599
98	65	597
99	66	596
100	66	594
101	67	592
102	67	590
103	68	589
104	68	587
105	69	585
106	69	584
107	70	582
108	71	580
109	71	579
110	72	577
111	72	576
112	73	576
113	74	578
114	75	577
115	75	576
116	76	573
117	76	572
118	77	570
119	77	569
120	78	568
121	78	565
122	79	564
123	79	562
124	80	561
125	80	560
126	81	558
127	81	557
128	82	555
129	82	554
130	83	553
131	83	551
132	84	550
133	84	549
134	85	547
135	86	546
136	86	545
137	87	544
138	87	542
139	88	542
140	89	544
141	89	543
142	90	542
143	90	540
144	91	539
145	91	538
146	92	536
147	93	535
148	93	534
149	94	532
150	94	531
151	95	530
152	95	529
153	96	528
154	96	526
155	97	525
156	97	524
157	98	523
158	98	522
159	99	521
160	99	519
161	100	517
162	100	516
163	101	516
164	101	515
165	102	514
166	103	515
167	104	515
168	104	515
169	105	514
170	105	513
171	106	513
172	107	512
173	107	511
174	108	510
175	108	509
176	109	508
177	109	507
178	110	506
179	111	505
180	111	504
181	112	503
182	112	502
183	113	501
184	113	500
185	114	499
186	114	498
187	115	498
188	116	497
189	116	497
190	117	497
191	118	497
192	118	496
193	119	495
194	119	495
195	120	494
196	120	492
197	121	491
198	121	490
199	122	489
200	123	489
201	123	488
202	124	487
203	124	485
204	125	485
205	125	484
206	126	483
207	126	482
208	127	481
209	127	480
210	128	479
211	128	478
212	129	478
213	129	477
214	130	476
215	130	475
216	131	474
217	132	474
218	132	473
219	133	473
220	133	472
221	134	471
222	134	470
223	135	469
224	135	468
225	136	467
226	136	466
227	137	465
228	137	464
229	138	463
230	139	462
231	139	461
232	140	461
233	140	460
234	141	459
235	141	458
236	142	459
237	143	458
238	143	457
239	144	456
240	144	455
241	145	454
242	145	454
243	146	453
244	146	452
245	147	452
246	148	452
247	148	451
248	149	450
249	149	449
250	150	449
251	151	448
252	151	447
253	152	446
254	152	445
255	153	444
256	153	443
257	154	443
258	154	442
259	155	441
260	155	440
261	156	440
262	156	439
263	157	438
264	157	437
265	158	436
266	158	436
267	159	435
268	159	434
269	160	433
270	160	432
271	161	432
272	162	431
273	162	431
274	163	430
275	163	429
276	164	429
277	164	428
278	165	427
279	166	426
280	166	426
281	167	425
282	167	424
283	168	423
284	168	423
285	169	422
286	169	421
287	170	420
288	170	420
289	171	419
290	171	418
291	172	417
292	172	417
293	173	416
294	173	415
295	174	414
296	174	414
297	175	413
298	176	412
299	176	412
300	177	411
301	178	411
302	178	410
303	179	410
304	179	409
305	180	408
306	180	407
307	181	407
308	181	406
309	182	405
310	182	404
311	183	404
312	183	403
313	184	403
314	185	402
315	185	401
316	186	401
317	186	400
318	187	399
319	187	399
320	188	398
321	188	397
322	189	396
323	189	396
324	190	395
325	190	394
326	191	394
327	192	393
328	193	393
329	193	393
330	194	392
331	194	391
332	195	390
333	195	390
334	196	389
335	196	388
336	197	388
337	197	387
338	198	387
339	199	386
340	199	386
341	200	385
342	201	385
343	201	384
344	202	384
345	202	383
346	203	383
347	204	382
348	204	382
349	205	381
350	206	380
351	206	380
352	207	380
353	208	379
354	208	379
355	209	378
356	209	377
357	210	377
358	210	376
359	211	375
360	212	375
361	212	374
362	213	373
363	213	373
364	214	372
365	214	371
366	215	371
367	215	370
368	216	369
369	216	369
370	217	368
371	217	367
372	218	367
373	219	366
374	219	366
375	220	365
376	220	364
377	221	363
378	221	363
379	222	363
380	223	362
381	223	362
382	224	361
383	224	360
384	225	359
385	225	359
386	226	358
387	226	357
388	227	357
389	227	356
390	228	355
391	229	355
392	229	354
393	230	353
394	230	353
395	231	352
396	231	351
397	232	351
398	232	350
399	233	349
400	233	349
401	234	348
402	234	347
403	235	347
404	235	346
405	236	346
406	237	345
407	237	345
408	238	344
409	239	343
410	239	343
411	240	342
412	240	341
413	241	341
414	241	340
415	242	339
416	242	339
417	243	338
418	243	337
419	244	337
420	244	336
421	245	335
422	245	335
423	246	334
424	246	333
425	247	333
426	247	332
427	248	331
428	248	331
429	249	330
430	249	329
431	250	329
432	251	328
433	252	328
434	252	328
435	253	327
436	253	327
437	254	326
438	255	325
439	255	325
440	256	324
441	256	323
442	257	323
443	257	322
444	258	321
445	258	321
446	259	320
